Body Name,Body,Service Code,Organisational Unit,Expenditure Category,Expenditure Code,Date,Transaction Number,Net Amount ,Capital and Revenue,Supplier Name
Corby Borough Council,34UB,ENVQ,Environmental Services,CONSULTANTS                             ,4320,15/06/2012,V201533,"4,500.00 ",Revenue,20/20 CONSULTANCY SERVICES LIMITED
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,TRAINING - OFFICERS                     ,1120,08/06/2012,V201202,"3,334.00 ",Revenue,4SEE SAFETY
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,CONSTRUCTION                            ,5432,30/06/2012,V202824,"43,574.38 ",Capital,A AINGE & SONS
Corby Borough Council,34UB,FINS,Financial Services,RETENTION                               ,5420,01/06/2012,V198121,"60,493.23 ",Capital,A AINGE & SONS
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,CBC FLEET HIRE - TRANSPORT              ,3101,01/06/2012,V198059,"4,956.00 ",Revenue,AA BUSINESS SERVICES
Corby Borough Council,34UB,CULT,Culture & Leisure Services,CIVIC ENTERTAINING                      ,4537,28/06/2012,V202495,520.00 ,Revenue,AA MEDIA
Corby Borough Council,34UB,PROP,CB Property Services,GENERAL R&M,2080,28/06/2012,V202514,31.99 ,Revenue,AA SECURITY
Corby Borough Council,34UB,PROP,CB Property Services,GENERAL R&M,2080,15/06/2012,V201550,76.45 ,Revenue,AA SECURITY
Corby Borough Council,34UB,CULT,Culture & Leisure Services,GENERAL R&M,2080,22/06/2012,V201921,146.16 ,Revenue,AA SECURITY
Corby Borough Council,34UB,PROP,CB Property Services,GENERAL R&M,2080,15/06/2012,V201551,157.50 ,Revenue,AA SECURITY
Corby Borough Council,34UB,PROP,CB Property Services,GENERAL R&M,2080,15/06/2012,V201552,239.04 ,Revenue,AA SECURITY
Corby Borough Council,34UB,CULT,Culture & Leisure Services,GENERAL R&M,2080,22/06/2012,V202041,241.34 ,Revenue,AA SECURITY
Corby Borough Council,34UB,CULT,Culture & Leisure Services,GENERAL R&M,2080,22/06/2012,V201920,248.50 ,Revenue,AA SECURITY
Corby Borough Council,34UB,PROP,CB Property Services,GENERAL R&M,2080,15/06/2012,V201549,309.97 ,Revenue,AA SECURITY
Corby Borough Council,34UB,CULT,Culture & Leisure Services,GENERAL R&M,2080,01/06/2012,V197776,316.34 ,Revenue,AA SECURITY
Corby Borough Council,34UB,PROP,CB Property Services,GENERAL R&M,2080,08/06/2012,V201270,"2,587.00 ",Revenue,ACRABUILD (ANGLIA) LTD
Corby Borough Council,34UB,CUST,Customer First,COMPUTER SOFTWARE LEASE                 ,4461,28/06/2012,V201647,"6,962.40 ",Revenue,ADELANTE SOFTWARE LTD
Corby Borough Council,34UB,CULT,Culture & Leisure Services,GRANT PAYMENT                           ,4606,01/06/2012,V198386,"2,000.00 ",Revenue,ADRENALINE  ALLEY
Corby Borough Council,34UB,CULT,Culture & Leisure Services,TELEPHONE RENTAL                        ,4410,22/06/2012,V201545,409.77 ,Revenue,ADT FIRE & SECURITY PLC
Corby Borough Council,34UB,FINS,Financial Services,GENERAL R&M,2080,15/06/2012,V198291,841.57 ,Revenue,ADT FIRE & SECURITY PLC
Corby Borough Council,34UB,CULT,Culture & Leisure Services,MARKETING                               ,4711,30/06/2012,V202720,0.00 ,Revenue,ALLIANCE LEISURE SERVICES
Corby Borough Council,34UB,CULT,Culture & Leisure Services,MARKETING                               ,4711,28/06/2012,V202571,"3,543.84 ",Revenue,ALLIANCE LEISURE SERVICES
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,CBC FLEET HIRE - TRANSPORT              ,3101,22/06/2012,V202166,542.82 ,Revenue,ALLSTAR BUSINESS SOLUTIONS LTD
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,CBC FLEET HIRE - TRANSPORT              ,3101,01/06/2012,V201104,567.66 ,Revenue,ALLSTAR BUSINESS SOLUTIONS LTD
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,CBC FLEET HIRE - TRANSPORT              ,3101,15/06/2012,V201708,646.65 ,Revenue,ALLSTAR BUSINESS SOLUTIONS LTD
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,CBC FLEET HIRE - TRANSPORT              ,3101,28/06/2012,V202649,704.63 ,Revenue,ALLSTAR BUSINESS SOLUTIONS LTD
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,CBC FLEET HIRE - TRANSPORT              ,3101,28/06/2012,V202648,"1,070.90 ",Revenue,ALLSTAR BUSINESS SOLUTIONS LTD
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,VOID PROPERTIES - CLEARANCE & CLEANSING,2071,08/06/2012,V201209,117.76 ,Revenue,AMB HYGIENE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,VOID PROPERTIES - CLEARANCE & CLEANSING,2071,08/06/2012,V201206,117.76 ,Revenue,AMB HYGIENE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,VOID PROPERTIES - CLEARANCE & CLEANSING,2071,15/06/2012,V201481,176.64 ,Revenue,AMB HYGIENE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,VOID PROPERTIES - CLEARANCE & CLEANSING,2071,15/06/2012,V201483,176.64 ,Revenue,AMB HYGIENE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,VOID PROPERTIES - CLEARANCE & CLEANSING,2071,08/06/2012,V201205,176.64 ,Revenue,AMB HYGIENE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,VOID PROPERTIES - CLEARANCE & CLEANSING,2071,08/06/2012,V201207,176.64 ,Revenue,AMB HYGIENE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,VOID PROPERTIES - CLEARANCE & CLEANSING,2071,08/06/2012,V201208,176.64 ,Revenue,AMB HYGIENE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,VOID PROPERTIES - CLEARANCE & CLEANSING,2071,08/06/2012,V201212,176.64 ,Revenue,AMB HYGIENE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,VOID PROPERTIES - CLEARANCE & CLEANSING,2071,15/06/2012,V201485,176.64 ,Revenue,AMB HYGIENE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,VOID PROPERTIES - CLEARANCE & CLEANSING,2071,15/06/2012,V201484,176.64 ,Revenue,AMB HYGIENE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,VOID PROPERTIES - CLEARANCE & CLEANSING,2071,08/06/2012,V201204,176.64 ,Revenue,AMB HYGIENE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,VOID PROPERTIES - CLEARANCE & CLEANSING,2071,08/06/2012,V201203,176.64 ,Revenue,AMB HYGIENE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,VOID PROPERTIES - CLEARANCE & CLEANSING,2071,15/06/2012,V201482,206.08 ,Revenue,AMB HYGIENE
Corby Borough Council,34UB,NPRD,Housing and Neighbourhood Services,VOID PROPERTIES - CLEARANCE & CLEANSING,2071,08/06/2012,V201210,206.08 ,Revenue,AMB HYGIENE
Corby Borough Council,34UB,FINS,Financial Services,OTHER THIRD PARTY PAYMENTS,5500,08/06/2012,V201243,"12,083.00 ",Revenue,ANGLE TECHNOLOGY LIMITED
Corby Borough Council,34UB,PROP,CB Property Services,WATER METERED USAGE                     ,2401,15/06/2012,V201672,74.82 ,Revenue,ANGLIAN WATER
Corby Borough Council,34UB,PROP,CB Property Services,WATER METERED USAGE                     ,2401,15/06/2012,V201671,451.84 ,Revenue,ANGLIAN WATER
Corby Borough Council,34UB,PROP,CB Property Services,WATER METERED USAGE                     ,2401,08/06/2012,V201356,636.64 ,Revenue,ANGLIAN WATER
Corby Borough Council,34UB,PROP,CB Property Services,WATER METERED USAGE                     ,2401,15/06/2012,V201673,872.77 ,Revenue,ANGLIAN WATER
